"ID","TVA","TVB","TVC","TVD","COSTA","COSTB","COSTC","COSTD","tiempoxid","c1","c2","c3","c4","Choice"
1,1.58567210892215,1.6800500549376,0.609064111090265,2.04433630746789,4.54188945586793,7,8,16.8619328183122,6,0,1,0,0,2
2,1.27491880999878,1.03497967456933,1.19744499276858,2.03214693865739,1.64797722129151,7,8,3.81703101703897,2,1,0,0,0,1
3,1.06462041311897,0.948988255765289,0.776232753810473,0.922226811433211,4.59122690488584,7,8,10.7512842337601,3,0,0,0,1,4
4,1.57384824636392,1.85318157847505,1.32582598915324,0.269977454491891,4.05463894014247,7,8,17.9597254204564,3,0,1,0,0,2
5,1.70577606908046,1.11965763792396,0.414629074651748,0.690456714527681,4.39413678250276,2.3,2.3,5.59726942470297,7,0,1,0,0,2
6,1.09473574254662,0.917142198211513,1.25722658478189,0.741242845379747,2.71845266106538,7,8,2.16136027593166,3,0,0,0,1,4
7,1.30727287521586,1.44759076058399,0.46327076505404,1.51657413623761,4.52537065255456,7,8,14.0109718772583,5,0,0,0,1,4
8,1.48037920403294,2.16047083071899,0.412958690035157,0.225220834813081,3.08427434414625,7,8,16.0281084291637,5,1,0,0,0,1
9,1.35050914343446,0.809597644791938,0.724017713475041,0.690066191903316,3.8206588185858,7,8,5.56427878187969,4,0,1,0,0,2
10,1.01004081149586,0.311801600339822,1.36674691746011,0.294552947767079,2.71990505047143,7,8,0.183938568457961,2,1,0,0,0,1
11,1.91074859187938,1.75055379667319,1.38780224130023,2.4975882878527,3.15503740916029,2.3,2.3,5.41448967112228,4,0,0,1,0,3
12,1.30209965142421,1.70660169187468,0.759217044641264,2.01027806261554,3.00709242816083,7,8,10.5079985009506,4,0,0,1,0,3
13,1.18670502468012,1.01340608350001,1.03115158278961,2.13732908240054,3.03115400136448,7,8,0.269355970434844,3,0,0,1,0,3
14,1.17878786544316,0.916196439578198,0.565905746025965,0.776285907393321,0.576258996734396,2.3,2.3,10.1483839256689,3,1,0,0,0,1
15,1.17643983289599,1.63905641511083,1.01574060220737,1.22246231311001,2.64913160470314,7,8,3.60536036035046,3,0,1,0,0,2
16,1.06765950238332,2.11718587873038,0.541864893678576,1.28832073879894,2.39530173479579,2.3,2.3,15.3733361726627,1,0,0,0,1,4
17,1.9037055731751,0.679304401297122,1.49838550195564,1.31653406294063,3.06666112621315,7,8,16.5641603479162,2,0,1,0,0,2
18,1.18312678718939,0.358237336366437,1.0469190810807,2.22087529448327,2.44852531235665,7,8,17.9220722056925,3,0,0,1,0,3
19,1.67778920102865,1.23499153268058,0.420287370984443,0.274126118980348,4.67245687264949,7,8,1.66534570790827,5,0,0,0,1,4
20,1.49136388557963,1.1532208166318,1.03483734896872,2.06064256143291,1.84631400043145,7,8,1.02594756754115,6,1,0,0,0,1
21,1.18337994930334,1.28023797289934,0.580011222581379,1.27385731616523,3.43417408759706,7,8,9.36139279184863,3,1,0,0,0,1
22,1.15260000596754,1.67428421264049,0.783867722167633,1.10308962145355,2.85338725545444,7,8,2.79311393620446,2,0,0,0,1,4
23,1.39548629033379,1.71672199794557,0.672553847217932,1.2553341998253,3.74202302889898,7,8,17.8711431920528,1,0,0,1,0,3
24,1.47880873735994,0.507926406641491,0.797557829669677,2.29234261785168,3.44836289994419,7,8,15.3135597165674,5,1,0,0,0,1
25,1.49789009313099,2.09653022557031,0.813381652999669,2.44678611042909,4.33189608505927,7,8,6.32637904537842,4,1,0,0,0,1
26,1.06293524964713,1.91076831228565,1.19950420742389,2.19819306263234,4.52089505153708,2.3,2.3,8.03575500799343,5,0,0,0,1,4
