;TRUE;Estimate;S.E.;t(b);LL
b_t;-2,0;-2,059649610189;0,129459114829492;0,460760219684518;0
b_c;-0,5;-0,484213458928936;0,0223612567640189;-0,705977362438136;0
alpha;0,6;0,594263649769508;0,0249554817577565;0,229863333682551;0
ASC_A;-0,5;-0,591053060468749;0,157970161659564;0,576394045003095;0
ASC_B;-0,5;-0,64888228508515;0,152236936604371;0,977964273361996;0
ASC_D;-1,0;-1,25935377661488;0,192872784372333;1,34468830041987;0
Wc;0,3;0,315054315125278;0,0176447437718275;-0,853189783878556;0
delta;0,05;0,0501301711729748;0,00161428056944124;-0,0806372668041571;0
mu1;0,1;0,145316668771285;0,0368989109516949;-1,2281302510692;0
mu2;0,1;0,148061741117343;0,03987616696294;-1,20527484905985;20607,0270621058
